Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
P49071;A4V402,-0.251229651,#VALUE!,-0.132056106,#VALUE!,0.912879758,-0.527200328,-0.587012584,-1.295871702,-1.658902338,-1.452767356,-1.31954961,-0.146563181,-1.729578703,-1.468770771,1.267535798,#VALUE!
P32392,#VALUE!,-2.028086796,#VALUE!,-1.631287516,-2.030147747,#VALUE!,#VALUE!,#VALUE!,-1.707595167,-1.90465615,0.417163907,-1.795208214,#VALUE!,#VALUE!,1.122076304,#VALUE!
Q9I7N0;Q7KTD0;Q7KTC9;Q7KTC8;Q7KTC7;Q7KTC6;Q7KTC5;Q7KTC4;Q7KTC3;Q7KTC2;Q7KTC1;Q7KTB9;Q7KTB8;Q7KTB7;Q9VK56;Q7KTC0;P91660,-1.973072493,-1.703172605,-1.702984712,-2.075033617,-1.349014918,-1.510128282,-1.750202751,-2.264997807,-1.530530747,-1.745067393,-1.451149122,-1.6627342,-1.467294052,-1.148288931,1.239214714,-0.49506441
Q70PY2,-0.963531833,-0.343238225,-2.202040759,-2.624599071,#VALUE!,#VALUE!,-1.879382639,-1.070421068,-3.377084638,-1.957411691,#VALUE!,-0.66156988,-1.042159673,-1.185999279,-0.902389203,-1.762044764
P22817,-2.214842869,-2.918987675,-1.476016588,-2.215110791,-1.98170767,2.07200287,-2.14362776,-1.832333782,-2.12960766,-2.192645078,-1.235212254,-2.375871024,-2.41804143,-1.699419372,0.25386828,-1.53750787
Q9W3L4,3.443474045,3.598484313,0.207268173,0.154453593,3.616122405,3.095553152,0.050188223,0.025879273,-2.204831529,-2.324166007,4.391630262,4.187134291,1.698485208,1.752406071,0.012497163,-0.051698188
Q7K3Z6;A1Z6P8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.780413255,-2.069572993,#VALUE!,-2.440263476,-2.599986782,#VALUE!,#VALUE!,-2.619625175,#VALUE!,-0.465360638,-1.587836324
Q9VXL1;B7Z0Y2;Q7KUY7,#VALUE!,#VALUE!,0.129744606,-1.994240731,#VALUE!,-1.416615709,-1.20533045,-1.926755589,-2.984159924,-1.934234699,#VALUE!,#VALUE!,-1.485357579,-1.484065565,-1.121486518,-1.517461452
Q9VFJ0,-1.675627167,1.259061529,-2.312867627,-2.257459078,-1.632539468,-1.020545308,-1.881560533,-1.377032177,-0.85825333,-1.396726176,-0.691802243,-0.833078929,-1.60208754,-1.411732707,0.993420758,-1.288698934
Q9W3W1;A8JV09,-3.010192493,-0.836887756,#VALUE!,-4.422845295,-2.05991596,-1.319045586,-2.046801821,#VALUE!,-2.86281128,#VALUE!,-2.820106829,-2.172863877,#VALUE!,0.865997973,-1.03268381,#VALUE!
Q9W370,-1.810460056,-2.191194868,0.859333509,0.974015284,-2.200382145,-2.220143571,1.868489231,1.850439404,2.21673422,3.655351829,-2.437447392,-1.670979765,2.301177898,2.361459578,4.007285218,3.877057089
Q9VQ79-1;Q9VQ79,-1.921280874,-1.78061151,-1.698061233,-1.961058191,-0.77196327,-0.937325637,0.680954414,-1.91626242,-2.103146927,-2.137393883,-2.020047842,-1.559876992,-0.69710194,-0.807073624,-0.323172956,-1.867594251
Q9VJ11,#VALUE!,#VALUE!,2.076011739,#VALUE!,0.385817545,0.775345584,2.112333158,1.83975808,0.429856951,0.093019233,#VALUE!,#VALUE!,2.42387394,0.560617141,2.166876092,-0.107772197
Q9TVM2,-1.70256204,-1.901849979,-1.34717854,-1.387902325,-0.805257326,1.926948248,-1.732596043,#VALUE!,-2.927743248,-2.556902625,-2.762974793,-1.726519917,-0.008435526,-1.793056767,-1.203601596,-1.20453226
Q9VZ20;Q8IR93,-1.431403579,-1.966742643,-1.354575011,-1.399311583,-1.170004352,-1.02148218,-1.333116184,-1.77102743,-1.475976455,-1.465539918,-1.566057758,-1.231345619,-1.228908862,-1.49980982,0.225398337,-1.323913166
Q09103-3;Q09103-2;Q09103,-3.172408573,-3.597207982,-3.281246036,-4.28228432,-1.854596438,-2.734563104,-3.535649579,-2.654535494,-4.509339511,-4.04040194,-3.132135157,-2.117349126,-3.625863039,-3.349117825,-2.817968824,-2.895824394
Q9VJ43,-0.410178998,-0.123905487,0.419538892,0.648373402,-1.098690914,-0.913868447,0.227248184,0.298658316,-1.223912861,-0.759771166,-0.30254642,-0.382118538,0.531368983,-1.324924797,0.460794977,-1.360860469
Q7K3T3,-2.693854441,-1.003003931,-1.295198844,-1.724659144,-1.426741825,-2.511114853,-1.307001551,-0.96959329,-1.538387626,#VALUE!,-1.720897226,-2.007289568,-1.518783737,-1.51230786,0.059078342,-0.424687669
Q95NH6,-2.073879096,-1.942861696,-2.112162829,-3.073757622,#VALUE!,#VALUE!,-1.400491764,-2.193568698,-2.174686531,-3.953886164,#VALUE!,#VALUE!,-3.309717011,-2.351737055,-0.628429986,-2.740528638
P25439-2;P25439,-0.734347076,-2.517957167,#VALUE!,#VALUE!,-0.834853415,-2.968717739,-0.646721882,#VALUE!,-0.861159324,-2.269720899,-2.029323013,-0.389659003,#VALUE!,1.382611923,0.667937528,#VALUE!
P08111;P08111-2;P08111-4;P08111-3,-1.903630185,-1.76370945,#VALUE!,-1.026822241,-0.919697085,-1.10556636,#VALUE!,-0.998759815,-2.106311618,#VALUE!,-1.141589245,-1.596448676,-1.117724762,-1.135110636,-0.6126154,#VALUE!
Q8MSW0,-1.999307673,-2.216518201,-2.800877358,-2.682881201,-2.118225764,-1.970186706,-2.14286298,-1.905304503,-2.332934455,-1.570850058,-1.917460898,-2.818477586,-1.180331817,-0.838924969,-0.845364948,-2.311148256
Q9VNR2;C1C5A0;Q8IPS6;A8JNX2;Q7KTU2,-2.305360462,-2.013741989,-2.149056595,#VALUE!,-1.120545159,-0.184834486,-1.141080066,-1.695442232,-2.493540232,-1.177620628,-1.866226069,-1.896146556,-0.319045586,-1.742747947,-1.075094407,-1.430470022
A1ZAJ2;A1ZAJ2-2;A1ZAJ2-3,-1.941087845,-2.794857759,#VALUE!,-2.752437003,-1.501156855,-1.56896547,#VALUE!,-1.994700627,-1.914684128,-1.042337942,-0.334952935,-1.767388357,-1.771175154,0.237196574,-0.549767945,-1.480317204
Q9VF03,-1.151169777,-0.723586712,#VALUE!,-0.821151531,-1.902227415,-0.622576357,-0.239787571,-0.563070634,-1.056701257,-0.714941109,-0.94255666,-1.65081592,-0.687892498,#VALUE!,0.298423712,0.017921908
Q7K2P1,0.238909117,-0.172571165,1.426264755,1.111565545,-0.051668281,-0.78103289,0.929866728,0.857503334,0.584673933,0.867659289,-0.135205699,-0.180691513,#VALUE!,0.685536541,1.887252303,1.523511774
Q9VMH9,0.368600747,0.456175325,0.613908779,0.775261292,0.340505301,0.251204023,0.078609835,0.165686877,-0.255442756,-0.306377003,0.535754381,0.726918386,0.421909973,0.39297679,0.999567127,0.748804691
P02515,-0.608342246,-1.851729655,#VALUE!,#VALUE!,-2.921936744,#VALUE!,#VALUE!,#VALUE!,-3.518353861,-2.584068307,-3.513386529,#VALUE!,#VALUE!,#VALUE!,-2.266315938,-0.931370459
Q56JH9;A1Z9N8;B7YZE7;B7YZE8;A1Z9N7;A1Z9P0;B7YZE9,#VALUE!,#VALUE!,#VALUE!,-1.276799699,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.34805971,#VALUE!,#VALUE!,-1.933407892,#VALUE!,-0.718426369,-1.112630705,-0.79423216
Q9VQ52,-0.066729528,0.058662839,-0.175712786,-0.313781876,#VALUE!,0.530170648,-0.012344424,0.095451881,-0.390661078,-0.313763944,0.148738913,0.496717988,-0.452293539,-0.13517401,0.833416375,0.103262627
Q9VLW1,0.153286521,0.125254339,-0.23723449,#VALUE!,#VALUE!,-0.015709609,-1.473530495,-1.253945265,-2.040200175,-2.458861867,0.224781194,0.154842407,-0.477843788,-0.673692765,-0.818045127,-0.993694794
Q7KN74,-1.55173334,-1.425695003,-2.474251823,-1.391531368,1.447579197,0.09895848,-1.102744082,-1.268399654,-2.663922318,-1.675534994,#VALUE!,#VALUE!,-1.62602334,-2.385789591,-1.448351101,-1.255838904
Q9VCM8,-0.890679562,-0.055786227,-0.927167031,-0.360749311,#VALUE!,-0.762607604,-0.967475934,0.440208075,-0.964319791,-1.271914053,#VALUE!,0.00345832,-0.598959401,-0.945998986,0.241352086,-0.38099086
Q9V751;E1JH67;P45884,#VALUE!,#VALUE!,-1.406177758,-2.563198526,#VALUE!,#VALUE!,-1.415999617,-0.781305613,-3.70295653,-4.118113023,#VALUE!,#VALUE!,#VALUE!,-1.847466092,-2.507746852,-2.56260179
Q9VLS1;Q9VLS1-2;Q9VLS1-3,#VALUE!,#VALUE!,-1.381460618,-2.349897211,#VALUE!,-1.058503012,-1.215881346,-1.813245915,-2.006941609,-1.267461609,#VALUE!,#VALUE!,-1.232938502,-1.088929726,-0.815986367,#VALUE!
P08841,-2.0336286,-2.690404688,-0.932967122,-1.562090498,-3.00879836,-2.153735367,-1.113161147,-2.042278516,-2.678718377,-1.450320973,-2.642414216,-2.543298969,-1.397030101,-1.11397279,-1.499361088,-2.41734766
Q9VAW3,-1.357344632,-2.086078518,-2.2277596,#VALUE!,-1.87017628,-0.733099547,#VALUE!,-2.210429318,-2.511114853,#VALUE!,-2.219001268,-2.66364805,#VALUE!,-2.13106043,-1.332680072,-2.711228033
Q9VL78,-1.788464418,-2.196409235,-0.895421793,-0.955396049,-2.182000258,-1.611534903,-0.676134225,-0.465918471,-1.303863706,-0.849752291,-2.016132633,-1.608320252,-0.515480295,-0.606364144,-0.173888836,-0.179269599
Q9W205;Q9W204;E1JGS7;Q8MME5,-0.865595038,-2.147202107,-0.855092187,-1.837429013,-2.543383069,#VALUE!,-1.277918746,-1.495491468,-2.414037577,-2.288910426,-1.956907516,-0.618428671,-1.739131261,-0.762436282,-1.309609725,-1.553722593
Q8IP79;Q8IP80;Q9VK25;Q95SU1,-1.081735904,-0.826309673,-0.999509567,-0.523670162,-1.643450489,-1.560259856,-1.585150063,-1.051847728,-1.841714683,-1.128913374,0.969380765,0.405012083,-0.98227759,-1.255391092,-0.741372538,#VALUE!
Q9V3S9,-0.279021155,#VALUE!,-1.21742369,-1.796560764,#VALUE!,#VALUE!,-1.342597796,-1.819088337,-0.509779034,-1.70853789,#VALUE!,#VALUE!,-2.245437408,-1.549493425,0.574924978,-1.794107072
Q9VJH8;Q9VJI0;Q9VJH9,-0.102806051,0.683202373,-1.764640553,0.281787257,0.832120372,-0.612659519,-0.480297078,-0.142655921,-0.768665905,0.046840254,#VALUE!,0.132379425,#VALUE!,#VALUE!,0.311851831,0.276198865
Q961A8;Q7KUT8;Q8IQV1,-0.967052836,-0.996714399,-0.498851334,0.018634174,-0.859928143,-1.205064337,-0.397771187,-0.008435526,-0.836063373,-0.44894178,-0.699583372,-0.855274875,-0.695512322,-0.773047632,0.241352086,-0.511711233
O76464,-0.305734894,0.059078342,-1.284475585,-1.054691953,-0.03144471,#VALUE!,-0.056176169,-0.803090852,-1.694928344,-1.465420396,0.096126889,0.12035194,-1.117411725,#VALUE!,-0.618960328,-0.982705177
P02518,-1.164075926,-1.619846858,1.035764654,1.114433661,-1.664974162,-1.399273529,1.608809243,1.708584557,1.621102404,1.709599436,-1.435963338,-1.572436733,1.914908892,2.104973989,2.695370292,2.874816634
A1Z9E0;A1Z9D9,0.599222563,-1.709481228,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.648688284,-1.720326652,0.384270893,#VALUE!,#VALUE!,-1.212333514,-0.577766999,#VALUE!
P54398,-2.212500668,-2.192579128,0.691623493,0.551196067,-2.380371012,-2.777937375,1.453438561,1.680684423,1.467748997,1.430285273,-3.334898344,-2.301372557,1.520095326,2.251507027,2.52994585,2.571967989
Q9W3H7,-2.122177238,-1.9260427,-1.784284133,-1.878056266,-1.428332897,#VALUE!,-1.846428108,-1.076706272,-2.629947344,-1.513007668,#VALUE!,#VALUE!,-1.173416939,-1.241645649,-1.595881638,-1.881241611
Q9W308,#VALUE!,-0.040585927,-1.301692606,-1.350596075,#VALUE!,#VALUE!,-1.283070545,-1.198692321,-2.324816374,#VALUE!,#VALUE!,#VALUE!,-1.028851948,-0.962210156,-1.293747957,-1.137774776
P54351,0.42867841,-1.686870265,-1.262607431,-1.066366936,-1.342414869,-1.497689768,-1.239225506,-1.03898425,-1.972959217,-1.980226931,-1.263473052,-1.937546672,-1.464146106,-1.380521254,-0.943360984,-1.2016757
A1Z9I0,0.718789028,0.645240513,1.137437945,0.950393758,0.912113305,0.352306553,0.987393636,0.858935843,-0.208944455,0.194465332,0.628073654,0.722203692,1.154259146,0.849999259,0.805622648,0.610700062
Q7KTI5;Q7KTI6;Q8IPG0,-1.346004484,-1.431987358,-1.177947007,-1.257528061,-0.17458883,-0.951317401,-1.405795445,-1.10556636,-2.015549184,-1.556053931,-1.835574119,-1.761017534,-1.547678688,-1.601824778,-1.037265909,-1.310003146
Q9NFU0-3;B3LF78;Q9NFU0-2;Q9NFU0;Q9NFU0-4,-1.505901894,-1.437681855,-0.235025468,0.354677829,-1.405986589,-0.788788398,0.581206609,-0.063303648,-0.31944159,0.810319703,-1.3438057,-1.432805047,-0.143739325,-0.655103346,0.65608444,0.136060107
Q04691-2;Q04691,0.177981556,-0.243045048,1.137896932,1.348062414,0.537246361,0.137634672,2.493468011,2.481376448,2.093222111,2.09990111,-1.355792989,-0.986159027,2.523361219,2.312897473,3.044743821,2.878725341
Q9VPH6;B7Z089,-2.035401752,-2.088960414,-2.142480741,-2.455217895,-1.801983681,-0.004855617,-1.948029365,-2.486489042,-2.535917293,-1.455930122,-0.302582006,-1.041832905,-2.487459573,-2.294490912,-1.584457646,-1.447249146
Q9VMJ5,-0.52761621,-0.826872567,1.594214111,1.110697317,1.18173866,-0.500115854,1.098486934,1.337939394,0.886745225,0.498148726,-0.868726613,-0.87630732,1.237441347,0.744419466,1.826273904,1.217727042
P98081-2;P98081;E1JI13,-1.110947061,-1.112942706,-0.213637834,-1.055171533,-0.815097687,#VALUE!,-0.802260394,-0.864859184,-0.749402177,#VALUE!,-2.125950636,-0.805988616,-0.06214341,-0.381178745,0.185612862,-0.566997847
Q7K304;A8DY77,-1.572479641,-1.998039268,#VALUE!,-1.796811375,#VALUE!,-1.821992939,-1.226172421,-1.545108202,-2.344538256,-1.383679947,#VALUE!,-2.047875211,-2.025206401,-1.046533599,-1.410466596,-1.558346552
Q9VUQ5;Q9VUQ5-2,-1.397942261,-1.720707009,-1.003871613,-2.347619058,0.196103398,-1.463350246,-1.211364398,-1.149088589,-3.359934417,-2.364013496,-1.862076844,-1.084670324,-2.748941442,-2.070602863,-2.430820035,-1.45292533
A1Z803,1.365972428,1.031536353,1.116098552,1.34879896,0.189033824,-0.025940649,-0.210529476,-0.140634682,-0.203917289,0.07751647,1.349648353,1.10534284,1.135206499,1.108892402,0.717034778,0.651223943
Q7K0S5,-0.932278688,2.672402711,-0.666828187,-1.121957428,-0.509984464,#VALUE!,-0.909688529,-0.943416472,-1.511073732,2.249202596,-0.618583717,2.904638234,3.494799595,0.753176627,-0.591266404,-0.671002735
Q9VH64,1.018206857,0.686074659,0.890796866,0.820076821,0.437760394,0.25821739,0.572210593,0.698218478,-0.143994361,-0.053149388,0.471239495,0.651407656,0.819177666,0.917622702,0.768078435,0.725348533
P11995,-0.557900479,-0.475615315,1.382777906,1.344317215,-0.123685413,-0.40566166,1.960548778,2.220298995,2.003350373,1.953004431,-1.685709516,-1.947639756,2.199059805,2.205892928,2.903867389,3.0651242
Q9V415,0.64800518,0.144699025,0.81934119,#VALUE!,0.217106608,0.250840334,0.742954757,0.941031169,0.351515261,0.851599143,0.221815228,0.347665656,#VALUE!,#VALUE!,1.249445341,0.807519792
Q9VM93,-0.864517664,-1.219471518,-1.076767132,-1.881985871,-1.251332682,-1.005811323,-0.507890447,-1.228536942,-1.647467443,-0.985873271,-1.342085657,-1.845390869,-0.91479292,-1.368551096,-0.771372143,-1.340440727
A1ZBQ3;A1ZBQ4,1.463256244,1.189413431,-0.5239813,-0.612836009,#VALUE!,1.138159145,0.309292623,0.185486004,-0.52172189,-0.523566464,1.770913597,1.473319356,-0.078776966,0.046560906,0.352193538,0.319386715
Q9VC05,-1.599287209,-1.492119118,-0.938680008,-0.456246781,-0.950229848,-1.751999594,-1.580871054,-2.007927711,-2.086813775,-2.184621316,-1.394941907,-1.27721924,-0.528406717,-0.784110217,-1.224283591,-1.525247287
Q7KTI7;B6IDV6;E1JHB8;Q7KTI8;Q8IPG1;E1JHB6;E1JHB7,#VALUE!,-2.17442601,-1.759893312,-1.562729641,-1.532657908,-1.634464225,-1.487216879,-1.874560491,-2.321567466,-2.392137097,-2.229044129,#VALUE!,-1.611578989,-1.912727268,-1.461799581,-2.422829823
Q9VS54,-0.813981266,-0.86906913,-0.446836129,-0.255063933,0.336854639,-0.926015288,-0.344519938,#VALUE!,-0.977724522,-0.42670304,-1.185539812,-0.793656848,0.003026483,-0.287853275,-0.119729811,-0.159266884
Q8IPW2;Q9VPU1,-2.014382993,-1.55368024,#VALUE!,-0.683460322,#VALUE!,-0.935393025,-0.900610527,-1.304718805,-1.365797079,-1.340148491,-1.220076351,#VALUE!,#VALUE!,#VALUE!,-0.514490735,#VALUE!
A1Z9F9;Q7JWE2,0.319502329,-0.011253517,-0.15009679,0.474773476,0.5431989,-0.430022907,-0.130144383,0.063640993,-0.155935785,0.406971971,-0.619071114,-0.582015202,0.294547234,0.403485883,0.695013873,0.401302792
Q7K0E6,-1.522177633,-1.857939518,-1.44249678,-1.112038088,-2.385864993,-1.278933631,-1.174914524,-0.964319791,-1.405145746,-1.411003598,-1.368364848,-2.004392473,-0.948279884,0.509037042,-0.557815528,-1.150465039
Q9VVA4;Q7KUQ2,-2.934344975,-2.329159664,-3.373013327,-3.424873586,-2.41858126,-2.491672771,-3.798325995,-3.790778732,-4.625435659,-4.725317297,-2.379319759,-3.099618116,-3.972630764,-3.475053721,-3.779046044,-4.011587974
Q9W1Y3;Q9W1Y2;Q0E8Y1,-1.712125863,#VALUE!,-0.563774184,-0.276397754,-0.689822774,#VALUE!,-1.829254499,#VALUE!,-2.147329926,-2.617321682,-0.515604037,-0.677356506,-1.709292511,-1.623442887,-1.318901612,-1.159331329
Q8MSI2,0.59454855,0.66120233,-0.337265837,-0.149952718,0.555128994,0.264236151,-0.359045967,-0.218245829,-0.252621194,-0.350982435,0.594261893,0.695370292,0.203389117,0.362217377,0.574343754,0.487177608
Q9VTN9,0.118093889,0.600364915,1.383939251,-0.913515128,0.277032552,-0.26174233,-1.33151775,-0.933325237,-1.347508916,-1.1106978,0.254956787,0.046979908,-1.028145639,-1.049785433,-0.53566631,-1.151490226
Q8SXJ8,-0.312778026,0.096666669,0.084064265,-0.125572852,#VALUE!,#VALUE!,0.234501321,0.541514839,-0.660885425,-0.386977623,-0.043497222,-0.262901684,#VALUE!,#VALUE!,0.14912927,-0.343860629
Q9VJD2,0.14860877,-0.006506779,-0.012722798,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.479230561,-0.645096539,-0.395947659,-0.593550406,#VALUE!,0.008343459,0.158466295,0.164013889,-0.431247944
Q7JZW0,0.271306144,0.040120917,0.948227044,0.752320428,-0.126108076,-0.236231514,0.633570707,0.685984987,0.414243799,0.801572569,-0.006463303,0.014355293,0.651040207,0.938624545,1.220763317,1.231739594
Q7K1C5,-0.856162543,-0.935613764,-0.651223698,#VALUE!,#VALUE!,#VALUE!,-1.039577256,-1.067696888,-2.198725436,#VALUE!,#VALUE!,-0.88172002,-0.352584171,#VALUE!,-1.398550688,-1.279704021
Q9V9J3,-1.62282071,-1.681908801,-1.430897827,-1.622021163,-1.55758194,-2.564478079,-1.941475688,-1.417039425,-2.162428073,-1.826437584,-2.214775896,-2.009901937,-1.672542566,-1.112474729,-1.369221787,-1.821228003
Q9VZW7,-1.527740998,-1.518453052,-1.74545433,-1.813043126,-1.40354186,-1.025059596,-1.935448206,-1.367992424,-2.421592586,-2.088960414,-1.173742369,-1.225632503,-1.697780398,-1.803342601,-1.639175034,-1.938984225
Q9VCG8;A8E6R4,-1.065370276,-1.219941922,0.113433803,0.769602498,0.690729962,-0.878215367,0.629752942,-0.088009366,-0.46340992,#VALUE!,-1.121235429,-0.964488695,0.598460492,#VALUE!,0.317998618,0.185359135
Q9VGP3,-0.844147166,#VALUE!,-0.222228925,-0.600511685,-0.880869625,#VALUE!,-0.761482143,#VALUE!,-1.250611618,-0.486549681,#VALUE!,#VALUE!,-0.671186509,-1.003669107,-0.471408679,-0.655171503
P05661-24,-2.135554317,-2.446148032,-3.021160062,-2.874084451,-2.286867298,-1.788763474,-2.284897364,-3.091479119,-3.561255778,-2.88438074,-2.34168339,-2.401406116,-2.680752035,-2.453162323,-2.786074201,-2.713213458
Q9VUW4,-0.160765972,#VALUE!,0.974896364,-0.15432931,0.323197108,#VALUE!,0.256406854,0.113033665,0.666029381,#VALUE!,-0.197451066,-0.318793641,-0.355700682,-0.068316943,1.430017587,0.629193397
O44386-2;O44386,0.556208672,-0.04006667,0.883933562,#VALUE!,#VALUE!,-0.486387982,#VALUE!,1.148999163,-0.009016105,#VALUE!,-0.281701947,-0.290797605,1.095451881,1.576086724,0.748203586,0.61022759
Q9V9A9;Q0E9N2;E1JGY6;Q0E9N3,-2.198063285,-2.000461736,-1.750688164,-2.038717477,-2.30671601,-2.236775414,-1.977895003,-1.875777755,-2.057932213,-2.136442091,-2.182982597,-2.17156339,-1.424261701,-1.520231375,-1.301337,-1.456840702
Q9VG69,-0.253326068,-0.060126518,-0.671324355,-0.429711952,-0.14625979,-0.561387768,-0.406464559,-0.491409085,-1.201542974,-0.740938471,-0.215931613,-0.183801724,-0.931095351,-0.590028029,-0.454842139,-0.506516618
Q9W1D9,-1.144392947,#VALUE!,#VALUE!,#VALUE!,-1.00818885,#VALUE!,#VALUE!,-0.800450142,-2.148033134,-1.878003237,-1.744197163,0.080384787,-1.436158521,-1.958196312,-1.408933404,-1.934675856
Q9VKW1,-1.085649792,-1.454268806,-1.148448827,-1.148672712,-1.242191595,-1.631510999,-1.354870184,-1.109794587,-1.837377456,-1.410888509,-1.049516655,-1.179514657,-1.174002766,-1.292687256,-1.10336389,-1.367210647
Q8SXD5;Q0E8R1,2.110029093,1.89956236,0.887369295,0.922197848,1.828144102,2.067535467,0.760263535,0.880254513,-0.823702762,-0.791957266,1.859055154,1.802730896,0.696528046,0.710084561,-0.089988866,0.021195425
P11584,-1.901742158,-1.634464225,-1.208727692,-1.263958026,-1.347215245,-1.777937375,-1.625756182,-1.24615589,-1.738601576,-1.701107119,-1.455613534,-1.975964065,-1.079538999,-1.223036969,-1.017154238,-0.668088453
Q8SYQ4,-0.28885755,-0.197318728,2.083962184,0.266156864,0.035483152,-0.464166008,0.7812338,0.070664101,0.06474492,0.342896037,0.037311931,2.544633753,2.854155273,0.61805067,0.780730036,0.234869152
Q9VJ68,-1.641063673,-1.630885334,-0.486994445,-0.960945854,-0.928594274,-0.88036494,-0.584479279,-0.929418326,-1.075367993,-0.707500929,-1.730344414,-0.501585721,-0.29755522,-0.772850415,-0.362473216,-0.881640274
Q7KV69;Q9VZQ3;Q7KV70;A8JNJ6,-1.786770939,-1.294101697,-1.808336288,-1.35967523,-1.714207197,-1.54746782,-1.680058421,-0.647467443,-2.108363064,-1.803392956,-1.581950415,-1.316456244,-1.01196615,-1.535080851,-1.398512654,-1.3207744
Q9VQR8,2.770342781,-1.927962819,-1.459060172,-1.713639262,-1.86265387,1.264116022,-1.182000258,-1.758623505,-1.972845948,-1.679411348,-1.333806964,-1.417925779,-1.323371512,-1.248073594,-1.266906019,-1.699372519
Q0E8G6;Q9VSY2,-0.046950855,-0.216216498,0.740193617,0.172743517,0.331361267,#VALUE!,0.603596675,0.388024176,0.058801354,#VALUE!,-0.137441489,-0.187838614,0.727354154,0.707789805,0.750949452,0.903578215
Q9VHT5,-1.308573036,-0.45818783,0.529371205,#VALUE!,-1.276555024,-1.039162126,#VALUE!,#VALUE!,1.106281309,1.458644479,-0.755210341,-1.36252886,#VALUE!,0.944108799,1.795018813,#VALUE!
O77266;Q960D4,-1.621754745,-1.652810597,-0.791782422,-1.08191913,-2.090311368,-0.79148274,-0.828613808,-1.072482754,-1.784532621,-1.730918964,-0.65819638,-1.472489214,-0.703595456,-0.812257586,-1.095943716,-0.790359486
Q9VLY7,-0.0819344,0.15263774,0.461423785,-0.068589247,0.125783332,-0.067394518,0.250355272,0.036327492,-0.597386957,-0.140380238,0.024035935,0.420940456,0.147697444,0.147957881,0.091124334,0.454070583
Q9VEV3,-0.121000072,-0.480538611,0.295487943,-0.543109762,#VALUE!,#VALUE!,-0.775416347,-0.768788805,-0.703524972,-0.291962892,-0.348610715,0.381061828,-0.067288704,-0.323281256,-0.02058921,-0.195302082
Q9W4X4,1.319444523,-0.827538087,#VALUE!,-1.900071967,-0.293641852,#VALUE!,-2.377069649,-2.218665468,-1.065581631,-2.722134243,#VALUE!,0.048375705,0.535057595,-0.48626672,-0.384037616,-1.025382587
Q9W3J1,-1.068059814,-1.080698059,-0.871310671,-0.94374944,#VALUE!,-0.979515578,-1.013305105,-0.997434286,-1.183834498,-0.742048014,-0.975935688,-0.977298408,#VALUE!,#VALUE!,-0.503506971,-0.897650931
Q9VH25,1.07224303,0.211759833,0.748890543,0.671383963,#VALUE!,#VALUE!,0.768586635,#VALUE!,0.585443319,0.249748715,0.383054501,0.740366343,#VALUE!,#VALUE!,1.264176088,0.764940573
P13678;Q4QQA3,-1.176576709,-1.323010522,-2.033038034,#VALUE!,-2.203900672,#VALUE!,-1.971374273,-2.468012267,-1.962406924,-2.47818539,#VALUE!,#VALUE!,-1.583333176,-1.487378671,-1.285741292,-2.322000231
Q9VW56,-0.510333762,-0.738409011,0.625831558,0.192067884,-0.864675279,-1.053883024,0.362778454,0.244278199,0.035201596,0.624709202,-0.861342782,-1.002512476,0.522758841,0.735695464,0.711583007,0.480368537
P35416;A4V1N9,1.397310117,1.369941022,0.101112158,0.757450016,1.890835769,1.280896942,0.358846331,0.488309336,0.056028539,0.543099892,1.572307624,1.856069402,0.525968621,0.023610215,0.732052073,0.801986364
Q9VN12-2;Q9VN12,-1.053583536,-0.705993952,-0.726663153,-0.680890798,-0.56627136,-0.567510881,-0.810080582,-0.620201623,-1.323227105,-1.254702422,-0.602394156,-0.304113057,-0.810156469,-0.843603383,-0.647964698,-0.859744866
Q7K1D7,0.790605243,1.103866869,0.513995979,0.421802281,1.04851521,1.015354834,0.241474126,0.466444406,-0.533054491,-0.547004019,1.227063306,1.115233048,0.247319935,0.344033092,0.141171172,0.200629898
Q24400;A4V2J1,-2.069512436,-2.578025416,-2.081674833,-2.292793291,-2.694975053,-2.891964051,-2.13175575,-2.064917477,-2.182655076,-2.572350922,-2.397676155,-2.703877425,-1.983132892,-1.97244958,-1.512884148,-0.625244269
Q0E9G4;Q961L4,-1.356088412,-1.214842869,-1.136124966,-1.221724127,-1.097455571,-1.60094925,-0.918633101,-1.034278503,-1.866173473,-1.454426944,-1.353911093,-1.245232193,-1.057481741,-1.287853275,-1.199155998,-1.329630973
Q7JWV7,1.750777989,1.657274141,1.3950628,1.403322266,1.986301705,1.480885503,1.136519533,1.173767068,-0.175305454,-0.092770892,2.266246834,2.107821756,1.312607093,1.507211103,0.484808397,0.418351888
